power	row
13	[6227020800]
14	[87178291200 566658892800]
15	[653837184000 8499883392000 28332944640000]
16	[3487131648000 67999067136000 453327114240000 1031319184896000]
17	[14820309504000 385328047104000 3853280471040000 17532426143232000 30575780537702400]
18	[53353114214400 1733976211968000 23119682826240000 157791835289088000 550364049678643200 783699448602470400]
19	[168951528345600 6589109605478400 109818493424640000 999348290164224000 5228458471947110400 14890289523446937600 18011278812054528000]
20	[482718652416000 21963698684928000 439273973698560000 4996741450821120000 34856389812980736000 148902895234469376000 360225576241090560000 380275818414395904000]
21	[1267136462592000 65891096054784000 1537458907944960000 20986314093448704000 182996046518148864000 1042320266641285632000 3782368550531450880000 7985792186702313984000 7502994764658878284800]
22	[3097444686336000 181200514150656000 4832013710684160000 76949818342645248000 805182604679855001600 5732761466527070976000 27737369370563973120000 87843714053725453824000 165065884822495322265600 140088426789758051404800]
23	[7124122778572800 463067980607232000 13892039418216960000 252835117411548672000 3086533317939444172800 26370702746024526489600 159489873880742845440000 673468474411895145984000 1898257675458696206054400 3222033816164435182310400 2498794849923090630912000]
