power	row
7	[5040]
8	[40320 141120]
9	[181440 1270080 2328480]
10	[604800 6350400 23284800 29635200]
11	[1663200 23284800 128066400 325987200 322494480]
12	[3991680 69854400 512265600 1955923200 3869933760 3162075840]
13	[8648640 181621440 1664863200 8475667200 25154569440 41106985920 28805736960]
14	[17297280 423783360 4661616960 29664835200 117387990720 287748901440 403280317440 248619571200]
15	[32432400 908107200 11654042400 88994505600 440204965200 1438744507200 3024602380800 3729293568000 2060056318320]
16	[57657600 1816214400 26637811200 237318681600 1408655888640 5754978028800 16131212697600 29834348544000 32960901093120 16540688324160]
17	[98017920 3430627200 56605348800 576345369600 3991191684480 19566925297920 68557653964800 169061308416000 280167659291520 281191701510720 129568848121440]
