power	row
6	[720]
7	[5040 15120]
8	[20160 120960 191520]
9	[60480 544320 1723680 1905120]
10	[151200 1814400 8618400 19051200 16435440]
11	[332640 4989600 31600800 104781600 180789840 129230640]
12	[665280 11975040 94802400 419126400 1084739040 1550767680 953029440]
13	[1235520 25945920 246486240 1362160800 4700535840 10079989920 12389382720 6711344640]
14	[2162160 51891840 575134560 3814050240 16451875440 47039952960 86725679040 93958824960 45674188560]
15	[3603600 97297200 1232431200 9535125600 49355626320 176399823600 433628395200 704691187200 685112828400 302899156560]
16	[5765760 172972800 2464862400 21794572800 131615003520 564479435520 1734513580800 3758352998400 5480902627200 4846386504960 1969147121760]
