power	row
12	[479001600]
13	[6227020800 37362124800]
14	[43589145600 523069747200 1612798387200]
15	[217945728000 3923023104000 24191975808000 50999300352000]
16	[871782912000 20922789888000 193535806464000 815988805632000 1320663933388800]
17	[2964061900800 88921857024000 1096702903296000 6935904847872000 22451286867609600 29708792431718400]
18	[8892185702400 320118685286400 4935163064832000 41615429087232000 202061581808486400 534758263770931200 601783536940185600]
19	[24135932620800 1013709170073600 18753619646361600 197673288164352000 1279723351453747200 5080203505823846400 11433887201863526400 11240707219822080000]
20	[60339831552000 2896311914496000 62512065487872000 790693152657408000 6398616757268736000 33868023372158976000 114338872018635264000 224814144396441600000 196877625020902425600]
21	[140792940288000 7602818775552000 187536196463616000 2767426034300928000 26874190380528691200 177807122703834624000 800372104130446848000 2360548516162636800000 4134430125438950937600 3273038065322510284800]
22	[309744468633600 18584668118016000 515724540274944000 8697624679231488000 98538698061938534400 782351339896872345600 4402046572717457664000 17310689118526003200000 45478731379828460313600 72006837437095226265600 52126561665864304819200]
