power	row
14	[87178291200]
15	[1307674368000 9153720576000]
16	[10461394944000 146459529216000 524813313024000]
17	[59281238016000 1244905998336000 8921826321408000 21785854970880000]
18	[266765571072000 7469435990016000 80296436892672000 392145389475840000 733062897120153600]
19	[1013709170073600 35479820952576000 508544100320256000 3725381200020480000 13928195045282918400 21234672840116736000]
20	[3379030566912000 141919283810304000 2542720501601280000 24835874666803200000 139281950452829184000 424693456802334720000 549443323130397696000]
21	[10137091700736000 496717493336064000 10679426106725376000 130388342000716800000 974973653169804288000 4459281296424514560000 11538309785738351616000 13016067981627110400000]
22	[27877002177024000 1561112121913344000 39157895724659712000 573708704803153920000 5362355092433923584000 32701396173779773440000 126921407643121867776000 286353495595796428800000 287266878448003841587200]
23	[71241227785728000 4488197350500864000 128661657381024768000 2199216701745423360000 24666833425196048486400 188033027999233697280000 973064125263934319616000 3293065199351658931200000 6607138204304088356505600 5982974273328666501888000]
24	[170978946685747200 11968526268002304000 385984972143074304000 7540171548841451520000 98667333700784193945600 902558534396321746944000 5838384751583605917696000 26344521594813271449600000 79285658451649060278067200 143591382559887996045312000 118744767725524599859200000]
