power	row
3	[6]
4	[24 36]
5	[60 180 150]
6	[120 540 900 540]
7	[210 1260 3150 3780 1806]
8	[336 2520 8400 15120 14448 5796]
9	[504 4536 18900 45360 65016 52164 18150]
10	[720 7560 37800 113400 216720 260820 181500 55980]
11	[990 11880 69300 249480 595980 956340 998250 615780 171006]
12	[1320 17820 118800 498960 1430352 2869020 3993000 3694680 2052072 519156]
13	[1716 25740 193050 926640 3099096 7459452 12977250 16010280 13338468 6749028 1569750]
