power	row
5	[120]
6	[720 1800]
7	[2520 12600 16800]
8	[6720 50400 134400 126000]
9	[15120 151200 604800 1134000 834120]
10	[30240 378000 2016000 5670000 8341200 5103000]
11	[55440 831600 5544000 20790000 45876600 56133000 29607600]
12	[95040 1663200 13305600 62370000 183506400 336798000 355291200 165528000]
13	[154440 3088800 28828800 162162000 596395800 1459458000 2309392800 2151864000 901020120]
14	[240240 5405400 57657600 378378000 1669908240 5108103000 10777166400 15063048000 12614281680 4809004200]
15	[360360 9009000 108108000 810810000 4174770600 15324309000 40414374000 75315240000 94607112600 72135063000 25292030400]
