power	row
15	[1307674368000]
16	[20922789888000 156920924160000]
17	[177843714048000 2667655710720000 10226013557760000]
18	[1067062284288000 24008901396480000 184068244039680000 480178027929600000]
19	[5068545850368000 152056375511040000 1748648318376960000 9123382530662400000 18198613875746304000]
20	[20274183401472000 760281877555200000 11657655455846400000 91233825306624000000 363972277514926080000 591499300737945600000]
21	[70959641905152000 3193183885731840000 61202691143193600000 638636777146368000000 3821708913906723840000 12421485315496857600000 17114139358025149440000]
22	[223016017416192000 11708340914350080000 269291841030051840000 3512502274305024000000 28025865368649308160000 136636338470465433600000 376511065876553287680000 451953110094783897600000]
23	[641171050071552000 38470263004293120000 1032285390615198720000 16157510461803110400000 161148725869733521920000 1047545261606901657600000 4329877257580362808320000 10394921532180029644800000 11088299828141816087808000]
24	[1709789466857472000 115410789012879360000 3539264196394967040000 64630041847212441600000 773513884174720905216000 6285271569641409945600000 34639018060642902466560000 124739058386160355737600000 266119195875403586107392000 256069111522057238845440000]
25	[4274473667143680000 320585525035776000000 11060200613734272000000 230821578025758720000000 3222974517394670438400000 31426357848207049728000000 216493862879018140416000000 1039492153218002964480000000 3326489948442544826342400000 6401727788051430971136000000 5622208188713727580569600000]
