power	row
11	[39916800]
12	[479001600 2634508800]
13	[3113510400 34248614400 97037740800]
14	[14529715200 239740300800 1358528371200 2637143308800]
15	[54486432000 1198701504000 10188962784000 39557149632000 59056027430400]
16	[174356582400 4794806016000 54341134848000 316457197056000 944896438886400 1155068769254400]
17	[494010316800 16302340454400 230949823104000 1793257449984000 8031619730534400 19636169077324800 20439835646630400]
18	[1270312243200 48907021363200 831419363174400 8069658524928000 48189718383206400 176725521695923200 367917041639347200 334942064711654400]
19	[3016991577600 132747629414400 2632827983385600 30664702394726400 228901162320230400 1119261637407513600 3495211895573798400 6363899229521433600 5165761531919788800]
20	[6704425728000 331869073536000 7522365666816000 102215674649088000 915604649280921600 5596308187037568000 23301412637158656000 63638992295214336000 103315230638395776000 75875547089306764800]
21	[14079294028800 774361171584000 19746209875392000 306647023947264000 3204616272483225600 23504494385557785600 122332416345082944000 445472946066500352000 1084809921703155648000 1593386488875442060800 1070842073499515116800]
