power	row
8	[40320]
9	[362880 1451520]
10	[1814400 14515200 30240000]
11	[6652800 79833600 332640000 479001600]
12	[19958400 319334400 1995840000 5748019200 6411968640]
13	[51891840 1037836800 8648640000 37362124800 83355592320 76592355840]
14	[121080960 2905943040 30270240000 174356582400 583489146240 1072292981760 843184742400]
15	[259459200 7264857600 90810720000 653837184000 2917445731200 8042197363200 12647771136000 8734434508800]
16	[518918400 16605388800 242161920000 2092278988800 11669782924800 42891719270400 101182169088000 139750952140800 86355926616960]
17	[980179200 35286451200 588107520000 5928123801600 39677261944320 182289806899200 573365624832000 1187883093196800 1468050752488320 823172919528960]
18	[1764322560 70572902400 1323241920000 15243746918400 119031785832960 656243304837120 2580145311744000 7127298559180800 13212456772394880 14817112551521280 7621934141203200]
