power	row
9	[362880]
10	[3628800 16329600]
11	[19958400 179625600 419126400]
12	[79833600 1077753600 5029516800 8083152000]
13	[259459200 4670265600 32691859200 105080976000 130456085760]
14	[726485760 16345929600 152562009600 735566832000 1826385200640 1863435974400]
15	[1816214400 49037788800 572107536000 3677834160000 13697889004800 27951539616000 24359586451200]
16	[4151347200 130767436800 1830744115200 14711336640000 73055408025600 223612316928000 389753383219200 297846188640000]
17	[8821612800 317578060800 5187108326400 50018544576000 310485484108800 1267136462592000 3312903757363200 5063385206880000 3457819037312640]
18	[17643225600 714550636800 13338278553600 150055633728000 1117747742791680 5702114081664000 19877422544179200 45570466861920000 62240742671627520 38528927611574400]
19	[33522128640 1508495788800 31678411564800 407293862976000 3539534518840320 21668033510323200 94417757084851200 288612956792160000 591287055380461440 732049624619913600 415357755774998400]
