power	row
2	[2]
3	[6 6]
4	[12 24 14]
5	[20 60 70 30]
6	[30 120 210 180 62]
7	[42 210 490 630 434 126]
8	[56 336 980 1680 1736 1008 254]
9	[72 504 1764 3780 5208 4536 2286 510]
10	[90 720 2940 7560 13020 15120 11430 5100 1022]
11	[110 990 4620 13860 28644 41580 41910 28050 11242 2046]
12	[132 1320 6930 23760 57288 99792 125730 112200 67452 24552 4094]
