power	row
16	[20922789888000]
17	[355687428096000 2845499424768000]
18	[3201186852864000 51218989645824000 209144207720448000]
19	[20274183401472000 486580401635328000 3973739946688512000 11029155770400768000]
20	[101370917007360000 3243869344235520000 39737399466885120000 220583115408015360000 467644314338353152000]
21	[425757851430912000 17030314057236480000 278161796268195840000 2316122711784161280000 9820530601105416192000 16946297841220780032000]
22	[1561112121913344000 74933381851840512000 1529889879475077120000 16984899886417182720000 108025836612159578112000 372818552506857160704000 544966995187934871552000]
23	[5129368400572416000 287244630432055296000 7037493445585354752000 97663174346898800640000 828198080693223432192000 4287413353828857348096000 12534240889322502045696000 15950721684523500306432000]
24	[15388105201717248000 984838732909903872000 28149973782341419008000 468783236865114243072000 4969188484159340593152000 34299306830630858784768000 150410890671870024548352000 382817320428564007354368000 432624344202645062307840000]
25	[42744736671436800000 3077621040343449600000 100535620651219353600000 1953263486937976012800000 24845942420796702965760000 214370667691442867404800000 1253424088932250204569600000 4785216505357050091929600000 10815608605066126557696000000 11019095291595236818452480000]
26	[111136315345735680000 8890905227658854400000 326740767116462899200000 7254978665769625190400000 107665750490119046184960000 1114727471995502910504960000 8147256578059626329702400000 41471876379761100796723200000 140602911865859645250048000000 286496477581476157279764480000 266260855684943430384353280000]
