power	row
10	[3628800]
11	[39916800 199584000]
12	[239500800 2395008000 6187104000]
13	[1037836800 15567552000 80432352000 142702560000]
14	[3632428800 72648576000 563026464000 1997835840000 2731586457600]
15	[10897286400 272432160000 2815132320000 14983768800000 40973796864000 45950224320000]
16	[29059430400 871782912000 11260529280000 79913433600000 327790374912000 735203589120000 703098107712000]
17	[70572902400 2470051584000 38285799552000 339632092800000 1857478791168000 6249230507520000 11952667831104000 10009442963520000]
18	[158789030400 6351561216000 114857398656000 1222675534080000 8358654560256000 37495383045120000 107574010479936000 180169973343360000 134672620008326400]
19	[335221286400 15084957888000 311755796352000 3871805857920000 31762887328972800 178103069464320000 681302066372928000 1711614746761920000 2558779780158201600 1732015476199008000]
20	[670442572800 33522128640000 779389490880000 11062302451200000 105876291096576000 712412277857280000 3406510331864640000 11410764978412800000 25587797801582016000 34640309523980160000 21473732319740064000]
